"feature","category","Compound_Name"
143521,"beef, pepper, wheat","[(2S,3R,4S,5S,6R)-2-[3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxyphenyl)-4-oxochromen-7-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate"
144747,"beef, milk_cow, hing powder","Theaflavin Monogallates"
145128,"pear, beef, milk_goat","Theaflavin Monogallates"
145319,"blueberry, strawberry, fig, anise, avocado, apricot, guava","Spectral Match to (+-)-2-cis-4-trans-Abscisic acid from NIST14"
145386,"blueberry, strawberry, fig, anise, avocado, apricot, guava","Massbank:FIO00837 Cycloheximide"
145426,"blueberry, fig, turmeric, anise, avocado, apricot, lavender, guava","1,5-dimethyl-1-vinyl-4-hexenyl acetate"
14654,"marigold","5hydroxymethyl_furfural"
146574,"blueberry, strawberry, fig, anise, oregano, avocado, apricot, guava","(+)-Abscisic acid"
148966,"beef, chicken, wheat, yogurt_cow","camelliquercetiside C"
1498,"mushroom, broccoli, cauliflower, langostino, cheddar cheese","Spectral Match to .gamma.-L-Glu-.epsilon.-L-Lys from NIST14"
149891,"peanut, lentil, anise, olive, bay leaf, legume, butter, Spenach","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
150856,"apple, pepper, milk_cow, salmon","4',5-Dihydroxy-7-(alpha-L-rhamnopyranosyloxy)-3-[[4-O-(4-hydroxy-trans-cinnamoyl)-6-O-alpha-L-rhamnopyranosyl-beta-D-galactopyranosyl]oxy]flavone"
150896,"cocoa seed, garlic powder","N-ethyl-2-pyrrolidinone substituted flavan-3-ol gallats (two hydroxy groups on B-ring)"
15196,"broccoli, fig, grain_fermented, bean, hing powder","Massbank:PR310826 N-Fructosyl phenylalanine"
152752,"pepper, milk_cow, salmon, tarragon, cheddar cheese","4',5-Dihydroxy-7-(alpha-L-rhamnopyranosyloxy)-3-[[4-O-(4-hydroxy-trans-cinnamoyl)-6-O-alpha-L-rhamnopyranosyl-beta-D-galactopyranosyl]oxy]flavone"
153623,"egg_chicken, banana","taurohyocholic acid"
153978,"beef, apple, milk_cow, chicken, wheat, yogurt_cow, apricot, veal","173268-23-0"
154757,"carrot, beef, wheat","taurocholic acid"
155789,"beef, egg_chicken, cocoa seed, spinach, lemon balm","Theaflavin Monogallates"
156362,"banana","""2-((4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enamido)ethane-1-sulfonic acid"""
156363,"pepper","(((3a,7a)-3,7-dihydroxy-12-oxo-24-oxocholan-24-yl)amino)ethanesulfonic acid"
158052,"grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach, poppy seed","15356-74-8"
158367,"sage, guava, marjoram","NCGC00180841-02!(2S,3R)-3-hydroxy-4-methoxy-2-(2-phenylethyl)-2,3-dihydropyran-6-one [IIN-based on: CCMSLIB00000846131]"
158551,"carrot, beef, wheat","taurohyocholic acid"
158918,"beef, mango","Theaflavin Monogallates"
159236,"beef, trout, mango, thyme","Theaflavin Monogallates"
159675,"milk_cow, salmon, wheat, sumac","THEAFLAVIN DIGALLATE"
159894,"milk_cow, salmon, chicken, wheat, banana, cream","THEAFLAVIN DIGALLATE"
160125,"onion, turmeric, cardamom, spice, oregano, lavender","NCGC00169889-02_C15H24O3_2-[(2R,4aR,8R,8aR)-8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl]acrylic acid"
162129,"onion, turmeric, cardamom, spice, oregano, lavender","CHEBI:182811"
162787,"garlic","19870-46-3"
163283,"milk_cow, wheat, cheddar cheese","4',5-Dihydroxy-7-(alpha-L-rhamnopyranosyloxy)-3-[[4-O-(4-hydroxy-trans-cinnamoyl)-6-O-alpha-L-rhamnopyranosyl-beta-D-galactopyranosyl]oxy]flavone"
165130,"curry plant","Cyclo(L-Val-L-Pro)"
165541,"walnut, pine nut, turmeric, grape_fermented, bay leaf, salmon, poppy seed","""6-aminododecanedioic acid, chloride CollisionEnergy:102040"""
165715,"mushroom, grape_fermented, bay leaf, oregano, poppy seed","Traumatic Acid - 40.0 eV"
166022,"egg_chicken","taurocholic acid"
168567,"raspberry, chard","TAUROURSODEOXYCHOLIC ACID"
169030,"pea, salmon, yogurt_cow, cream, canola","Thalictoside VI"
16941,"soda, grape_fermented","5hydroxymethyl_furfural"
174278,"broccoli, arugula, cauliflower, squash, squash blossom, dill flower","Spectral Match to Dodecanedioic acid from NIST14"
174596,"fig","Tetrahydroxybile acid"
1754,"sweet potato, carrot, pine nut, mango, sugarcane, banana, jicama","Spectral Match to Palatinose from NIST14"
180562,"turmeric, pepper, basil, anise, bay leaf, oregano","15356-74-8"
180651,"egg_chicken, sugarcane, veal","TAUROCHENODEOXYCHOLIC ACID"
181447,"lentil, anise, olive, cardamom, bay leaf, legume, butter, Spenach, cloves","Spectral Match to Jasmine lactone from NIST14"
18202,"beet, carrot, broccoli, grape_fermented, bean, lentil, cocoa seed","ACETYL PROLINE - 40.0 eV"
182645,"strawberry, cloves","NCGC00180743-02!9-methoxycarbonyldec-9-enoic acid"
18304,"sage, pepper, grape_fermented, bay leaf, cranberry, oregano, persimmon, lavender, guava, marjoram","Pantoyl lactone glucoside"
183149,"pine nut, turmeric, lentil, bay leaf, betel nut, marjoram","Caffeine"
183783,"onion, turmeric, anise, olive, oregano, avocado, lavender, squash blossom","Massbank:AC000285 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one"
185645,"pepper, milk_cow, veal","GLYCOCHOLIC ACID"
185649,"sweet potato, onion, yogurt_cow, cream, veal","Glycocholic Acid"
186460,"curry plant","Cholylsarcosine"
18848,"cheddar cheese","Spectral Match to Leu-Val from NIST14"
190781,"beef, cream, sesame, veal","Chikusetsusaponin iva"
193578,"beef, egg_chicken, shrimp, langostino, veal","palmitoyl carnitine CollisionEnergy:102040"
193718,"turmeric, ginger","NCGC00169702-02!(5R)-5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one"
193805,"beef, egg_chicken, chicken, langostino, veal","Spectral Match to Oleoyl L-carnitine from NIST14"
195223,"beef, egg_chicken, shrimp, chicken, langostino","Massbank:RP025603 Stearoyl-L-Carnitine|stearoylcarnitine|3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate"
196055,"beef, pea, oat, yogurt_cow, thyme, veal, cheddar cheese, sumac, chia","tranexamic acid"
196776,"celery, eggplant, squash, ground cherry, squash blossom, guava, cannabis leaf, marigold, borage leaf, watercress, nasturtium","PHOSPHORYLCHOLINE"
197163,"beef, pea, oat, yogurt_cow, thyme, veal, cheddar cheese, sumac, chia","Metipranolol"
202610,"veal","Panaxatriol"
20467,"broccoli, pepper, anise, cranberry, oregano, avocado, fennel","Salidroside"
209311,"beef, shrimp","Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14"
21028,"beef, cheddar cheese","Spectral Match to Phe-Pro-Lys from NIST14"
22035,"blueberry, grape_fermented, bay leaf, spice, cranberry, oregano","2-Hydroxy-4-(2-hydroxyethyl)phenyl-beta-D-glucopyranoside"
23278,"raspberry, walnut, pine nut, bean, anise, cardamom, cocoa seed, sesame seed, oregano","Vanillic acid 1-O-glucopyranoside"
246298,"trout, spice","Cer(d18:0/24:0); [M+H]+ C42H86N1O3"
247856,"beef, trout, langostino, potato","Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14"
247867,"beef, shrimp","Spectral Match to 1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine from NIST14"
247983,"onion, hing powder","Spectral Match to Kavain, DL- from NIST14"
2524,"apple, soda, cardamom, hing powder, sugarcane","Difructose anhydride III"
26931,"cheddar cheese","Spectral Match to Leu-Val from NIST14"
27935,"veal, cheddar cheese","Val-pro-pro"
2806,"pear, blueberry, fig, soda, banana, persimmon","Spectral Match to D-Fructose from NIST14"
2808,"tomato, blueberry, raspberry, strawberry, cranberry","Biopterin"
29242,"olive, cardamom, bay leaf, legume, ginger","MANNITOL - 30.0 eV"
29573,"bean, melon","MoNA:664090 DINOTEFURAN"
30150,"grape_fermented, bean","ethyl (2R)-5-oxopyrrolidine-2-carboxylate CollisionEnergy:205060"
31470,"pine nut, pea, grape_fermented, lentil, cocoa seed, oregano, banana, avocado","Spectral Match to Syringic acid from NIST14"
31519,"pine nut, turmeric, anise, bay leaf, butter, Spenach, ginger","SEBACIC ACID"
33160,"garlic, rice, arugula, walnut, peanut, cranberry, oregano","Salidroside"
33777,"grape_fermented, ginger, cocoa seed","Tyrosine ethyl ester"
34688,"beef, veal, cheddar cheese","Candidate Tryptophan-C14:4 (delta mass:202.132)"
3547,"pea, bean, lentil, langostino, eggplant, betel nut","Trigonelline"
37815,"raspberry, rosemary, bean, lentil, spice, oregano, thyme, dill flower","Spectral Match to Butylphosphonic acid from NIST14"
3787,"pepper, peanut","4-Hydroxy-2-methylpyrrolidine-2-carboxylic acid"
38149,"chicken","Spectral Match to L-Tryptophan from NIST14"
38681,"cardamom, oregano","MANNITOL - 30.0 eV"
42420,"broccoli","N-ACETYL-L-CYSTEINE - 40.0 eV"
4338,"sweet potato, mushroom, bean, peanut, lentil, Spenach, hing powder","adenosine"
46138,"raspberry, fig, grape_fermented, anise, bay leaf, cranberry, oregano, apricot, squash blossom","Phenylmethyl-glucopyranoside"
46711,"peanut","(2R,3S,4S,5R,6R)-5-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(hydroxymethyl)-6-[2-(4-hydroxyphenyl)ethoxy]oxane-3,4-diol"
47796,"tomato, anise, oregano, garlic powder","NCGC00385227-01_C16H24O8_beta-D-Glucopyranoside, 4-(3-hydroxypropyl)-2-methoxyphenyl"
47878,"cranberry","Spectral Match to D-(+)-Mannose from NIST14"
48667,"pear, grape_fermented, anise, bay leaf, wheat, sugarcane, oregano, poppy seed, guava","""3,4,5-Trimethoxyphenol CollisionEnergy:205060"""
50216,"beet, betel nut leaf, peanut, anise, bay leaf, melon","actarit"
50384,"blueberry, sugarcane, cranberry, banana, persimmon","Spectral Match to D-Fructose from NIST14"
52049,"tomato, bean, ginger, oregano","3-[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propanoic acid"
52245,"raspberry, cranberry, oregano, squash","Benzyl gentiobioside"
52639,"tomato, pea, bean, lentil, cardamom, chard, lavender","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
52709,"grape_fermented, apricot","Icariside F2"
53035,"blueberry, rosemary, mango, pea, grape_fermented, bay leaf, hing powder, oregano, avocado, radish, guava, watercress","syringin"
53340,"soda, cocoa seed","Massbank:EA030305 Caffeine|1,3,7-trimethyl-3,7-dihydro-1H-purine-2,6-dione|1,3,7-trimethylpurine-2,6-dione"
53406,"walnut, turmeric, anise, cardamom, legume, oregano, lavender","Massbank:LU088303 4-(4-Hydroxyphenyl)butan-2-one|4-(4-Hydroxyphenyl)-2-butanone"
53523,"walnut, pine nut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, Spenach, Tilapia, salmon, pig","HARMANE CollisionEnergy:102040"
5422,"broccoli, pea, bean, peanut, cocoa seed","Candidate Threonine/homoserine-C2:0 (delta mass:42.0107)"
54641,"cheddar cheese","Spectral Match to Leu-Leu from NIST14"
55123,"wheat","folic acid"
55803,"tomato, pea, bean, lentil","NCGC00380878-01_C18H28O9_Cyclopentaneacetic acid, 2-[(2Z)-5-(hexopyranosyloxy)-2-penten-1-yl]-3-oxo-, (1R,2R)-"
5592,"walnut, mango, soda, anise, garlic powder, banana, betel nut, ground cherry","pyridoxine"
57026,"grape_fermented, apricot","Icariside F2"
57298,"pepper, cardamom, oregano, lavender, dill flower","Spectral Match to Jasmine lactone from NIST14"
57988,"walnut, grape_fermented, bean, peanut, lentil, olive, cardamom, Spenach, poppy seed","Massbank:EQ331203 Gabapentin Related Compound E|1-(carboxymethyl)cyclohexanecarboxylic acid|1-(carboxymethyl)cyclohexane-1-carboxylic acid"
59125,"mushroom, grape_fermented, bean, peanut, cocoa seed","N-Acetylisoleucine CollisionEnergy:102040"
5915,"broccoli, fig, grain_fermented, bean, cardamom, hing powder, banana","Massbank:PR310824 N-Fructosyl isoleucine"
59255,"blueberry, betel nut leaf, bean, cranberry, avocado, eggplant, lavender","Ferulic acid"
59357,"sage, rosemary, walnut, pine nut, lentil, anise, olive, cardamom, bay leaf, legume, mint","NCGC00169049-03_C12H16O4_(3Z)-3-Butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1(3H)-one"
59723,"walnut, turmeric, grape_fermented, lentil, anise, olive, bay leaf, legume, butter, oregano","loliolide"
60366,"rosemary, cocoa seed, oregano, mint","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
60961,"betel nut leaf, bean, peanut, cranberry, avocado, eggplant, lavender, ground cherry","FERULATE"
61371,"chicken","N-ethyl-2-pyrrolidinone substituted flavan-3-ols (three hydroxy groups on B-ring)"
61437,"tomato, anise, oregano","2-[2-hydroxy-1-(4-methoxyphenyl)propoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
62779,"mushroom, broccoli, pea, bean, peanut, cocoa seed","2-(3-carboxypropanoylamino)-3-methylpentanoic acid CollisionEnergy:102040"
64679,"cheddar cheese","Spectral Match to Ile-Tyr from NIST14"
6536,"peanut, lentil, spice, cocoa seed, betel nut, radish","N-ACETYL-GLUTAMIC ACID"
65680,"sage, rosemary, lentil, cocoa seed, oregano, lavender, thyme, marjoram","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
65817,"sage, rosemary, bean, lentil, oregano, lavender, marjoram","MEGxp0_000347"
65946,"blueberry, walnut, cilantro, anise, oregano, borage flower, cannabis leaf, borage leaf, lemon balm, watercress, marjoram","ReSpect:PM018114 Sinapoylmalate"
66232,"betel nut leaf, raspberry, pepper, bay leaf, cranberry, oregano, avocado, kale, mint, ground cherry, borage leaf","Massbank:RP017402 Sinapic acid|3,5-dimethoxy-4-hydroxycinnamic acid|3-(4-hydroxy-3,5-dimethoxy-phenyl)prop-2-enoic acid"
66571,"sage, rosemary, lentil, cardamom, oregano, lavender, thyme, marjoram","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
66957,"blueberry, walnut, grape_fermented, anise, cranberry, oregano, lemon balm","NCGC00169491-03_C19H30O8_2-Cyclohexen-1-one, 4-[(1E)-3-(beta-D-glucopyranosyloxy)-1-buten-1-yl]-4-hydroxy-3,5,5-trimethyl-, (4S)-"
68485,"walnut, grape_fermented, lentil, anise, olive, bay leaf, butter, Spenach","2-(5-methyl-1H-pyrazol-1-yl)butanoic acid"
69132,"lentil, anise, olive, bay leaf, legume","NCGC00179796-02!5-[(E)-3-hydroxy-3-methylbut-1-enyl]-2-methylcyclohex-5-ene-1,2,4-triol"
69367,"walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, legume, butter","NCGC00169049-03_C12H16O4_(3Z)-3-Butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1(3H)-one"
69919,"rosemary, grape_fermented, bean, lentil, anise, olive, cardamom, legume, butter, cocoa seed, oregano, poppy seed","Genipin CollisionEnergy:205060"
70165,"grape_fermented, lentil, anise, olive, cardamom, legume, cocoa seed, poppy seed","Massbank:EQ331203 Gabapentin Related Compound E|1-(carboxymethyl)cyclohexanecarboxylic acid|1-(carboxymethyl)cyclohexane-1-carboxylic acid"
70448,"carrot, sage, pepper, cardamom, spice, ginger, cranberry, oregano","NCGC00385387-01_C16H28O7_4-(Hydroxymethyl)-1-isopropyl-3-cyclohexen-1-yl beta-D-glucopyranoside"
7194,"mushroom, broccoli, onion, grain_fermented, peanut, wheat, hing powder, garlic powder, squash blossom, chive stem, chive blossom","DEOXYADENOSINE"
73996,"sage, betel nut leaf, onion, anise, cardamom, bay leaf, legume, cloves","3-Methyl-4-hydroxybenzoic acid - 40.0 eV"
7428,"tomato, mushroom, bean, peanut, ground cherry","adenosine"
75207,"sweet potato, wheat","NCGC00179718-03!(1S,3R,4R,5R)-3,4-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,5-dihydroxycyclohexane-1-carboxylic acid"
75491,"pepper, anise, cocoa seed, oregano, mint","2-Phenylethyl-galactoside"
76044,"grape_fermented, bean, basil, anise, olive, cardamom, ginger, cocoa seed, oregano","Cinnamein - 30.0 eV"
76298,"sage, bean, lentil, cardamom, cocoa seed, oregano, chard, lavender, watercress, cloves","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
76583,"rice, arugula, walnut, cilantro, bay leaf, oregano, radish greens, borage leaf, dill flower, dill, lemon balm, watercress, marjoram","MKN-003C"
76589,"mint, cloves","SCHEMBL12907661"
78090,"walnut, pepper, grape_fermented, peanut, anise, cocoa seed, oregano, apricot, lavender, mint, parsley","(2S,3R,4S,5R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-(2-phenylethoxy)oxan-3-yl]oxyoxane-3,4,5-triol"
78139,"walnut, turmeric, cardamom, ginger, lavender","MANNITOL - 30.0 eV"
79385,"walnut, pine nut, peanut, cardamom, bay leaf, butter, Spenach","NCGC00180743-02!9-methoxycarbonyldec-9-enoic acid"
79723,"blueberry, betel nut leaf, pepper, cardamom, cranberry, oregano, apricot","[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienoate"
80298,"cheddar cheese","none_16904_dereplictor_pv_3.86203e-22"
80402,"cheddar cheese","val-leu-pro-val-pro"
8105,"tomato, grain_fermented, cocoa seed, garlic powder","guanosine CollisionEnergy:205060"
81563,"sage, bean, lentil, cocoa seed, oregano, lavender, watercress","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
81850,"beet, betel nut leaf, walnut, anise, olive, cardamom, bay leaf, ginger, lavender","Massbank: Isophorone|3,5,5-trimethylcyclohex-2-en-1-one"
82026,"sweet potato, walnut, turmeric, olive, bay leaf, Spenach, oregano, lemon balm","Loliolide"
83807,"walnut, grape_fermented, bean, basil, anise, bay leaf, oregano, ground cherry, dill, mushroom plant","ReSpect:PM018114 Sinapoylmalate"
84557,"blueberry, pepper, ginger, cranberry, oregano, apricot, lavender","Rosiridin"
84761,"walnut, grape_fermented, bean, anise, bay leaf, oregano, dill, mushroom plant","NCGC00380330-01!2-(6-methyl-7-oxooctyl)-2H-furan-5-one [IIN-based: Match]"
84889,"chicken","""EPIGALLOCATECHIN GALLATE, (-)"""
85715,"betel nut leaf, cardamom","cryptochlorogenic acid"
85980,"pine nut, grape_fermented, bean, lentil, bay leaf, legume, lavender","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
86278,"garlic, pepper, bean, lentil, bay leaf, oregano, garlic powder, betel nut, cloves","2-Phenylethyl D-rutinoside"
87011,"walnut, turmeric, grape_fermented, lentil, anise, cardamom, bay leaf, legume, cocoa seed, apricot","NCGC00169049-03_C12H16O4_(3Z)-3-Butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1(3H)-one"
87795,"raspberry, anise, cardamom, cranberry, oregano, apricot","Spectral Match to Jasmine lactone from NIST14"
88124,"anise, cardamom, oregano, dill flower, dill, fennel","Spectral Match to Jasmine lactone from NIST14"
8860,"tomato, blueberry, raspberry, strawberry, guava","NCGC00385398-01!2-hydroxy-2-(2-methoxy-2-oxoethyl)butanedioic acid"
88635,"sage, lentil, anise, butter, hing powder, cocoa seed, oregano","15356-74-8"
89351,"walnut, pine nut, turmeric, grape_fermented, lentil, Tilapia, pig","Candidate Alanine/Sarcosine-C6:0 (delta mass:98.0733)"
90106,"lentil, cardamom, banana","Jasmonic Acid"
90729,"basil, anise, bay leaf, spice, hing powder, oregano, marigold","Loliolide"
