"feature","category","Compound_Name"
102021,"broccoli, betel nut leaf, pepper, olive","Comphene"
102112,"walnut, cardamom, legume, lavender","(S)-(-)-Perillic acid CollisionEnergy:205060"
102712,"pine nut, mango, oregano","359875-77-7"
102951,"raspberry, anise, oregano, avocado, apricot, lavender, ground cherry","dihydrodehydrodiconiferyl alcohol 4-O-glucopyranoside"
103920,"betel nut leaf, pepper, basil, bay leaf, oregano, canola","Loliolide"
105257,"blueberry, walnut, mango, anise, bay leaf, oregano, avocado, apricot, lavender, ground cherry, guava","(+)-Abscisic acid"
105364,"blueberry, raspberry, mango, lentil, anise, bay leaf, avocado, apricot, guava","NCGC00385910-01_C15H20O4_1H-3a,6-Epoxyazulene-7-acetic acid, octahydro-4,8a-dimethyl-alpha-methylene-1-oxo-, (3aR,4S,6S,7R,8aS)-"
105368,"beef, cloves","teadenol A"
105541,"walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, butter, Spenach, oregano","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
105770,"sage, cardamom, ginger, oregano, dill flower, dill","Spectral Match to Perillaldehyde from NIST14"
106006,"broccoli, grape_fermented, anise","(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-(4-hydroxy-2-methyl-5-propan-2-ylphenoxy)oxane-3,4,5-triol"
106563,"anise, olive, cardamom, legume, butter, Spenach, oregano","MANNITOL - 30.0 eV"
110244,"walnut, bean, lentil, cardamom, hing powder, oregano","15356-74-8"
110946,"raspberry, borage leaf","NCGC00179935-02!(5S)-1,7-bis(3,4-dihydroxyphenyl)-5-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyheptan-3-one"
111777,"cocoa seed, oregano, avocado, betel nut, poppy seed","9-(2,3-dihydroxypropoxy)-9-oxononanoic acid"
112014,"turmeric, pepper, anise, lettuce, cranberry, oregano","Rosiridin"
112290,"pepper, anise, cardamom, spice, oregano, lemon balm","Spectral Match to Jasmine lactone from NIST14"
112730,"turmeric, cardamom, ginger, avocado","5-(6-Methyl-6-hydroxyheptyl)furan-2(5H)-one"
113185,"pepper, bay leaf, oregano","NCGC00384973-01_C13H22O4_(3E)-4-(1,2,4-Trihydroxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one"
114096,"rosemary, walnut, bean, bay leaf, oregano, lemon balm","CHEBI:181603"
114957,"anise, bay leaf, lettuce, avocado","Dihydro-8-deoxy-lactucin"
116084,"sweet potato, arugula, walnut, grape_fermented, bay leaf, Spenach, ginger, oregano, lavender, guava, watercress, marjoram","ReSpect:PM018114 Sinapoylmalate"
116335,"sweet potato, banana, avocado, persimmon, jicama, betel nut","METHYL VANILLATE - 40.0 eV"
116382,"walnut, peanut, olive, cardamom, bay leaf, legume, poppy seed","NCGC00168824-02!(E)-undec-2-enedioic acid"
117391,"cucumber","Spectral Match to Baicalin from NIST14"
117553,"pear, broccoli, rosemary, pepper, bay leaf, oregano","NCGC00169670-02!(2S,3R,4S,5S,6R)-2-[4-[(3S,3aR,6S,6aR)-3-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol"
118074,"blueberry, mango, lettuce, avocado, apricot, lavender","Psilostachyin B"
118423,"spice","2-[2-(4-methylphenoxy)acetylamino]-3-phenylpropanoic acid CollisionEnergy:102040"
119188,"mint","N-ethyl-2-pyrrolidinone substituted flavan-3-ol gallats (two hydroxy groups on B-ring)"
121030,"betel nut leaf, pepper, bay leaf, spice, legume, oregano, banana, avocado, betel nut","Massbank:PR302297 Sinapoyl aldehyde"
121272,"pear, onion, turmeric, pepper, anise, cardamom, spice, ginger, oregano, avocado","NCGC00381439-01_C15H24O3_1(4H)-Naphthalenone, 4a,5,6,7,8,8a-hexahydro-6-hydroxy-4-(hydroxymethyl)-3,4a,8,8-tetramethyl-"
121411,"betel nut leaf, bean, lentil, anise, bay leaf, legume, hing powder, oregano","NCGC00381386-01!2-(7-hydroxy-6-methyloctyl)-2H-furan-5-one"
122302,"pepper, oregano","CHEBI:182057"
122530,"cardamom, ginger, lemon balm","geranic_acid"
123678,"walnut, turmeric, grape_fermented, peanut, oregano, lavender","ABSCISIC ACID CollisionEnergy:205060"
125245,"mint","N-ethyl-2-pyrrolidinone substituted flavan-3-ol gallats (two hydroxy groups on B-ring)"
125386,"pepper, cardamom","Spectral Match to Jasmine lactone from NIST14"
127358,"egg_chicken","Chlorogenic acid"
130281,"pepper","Rosiridin"
13050,"beef, chicken, pig, veal","CARNOSINE"
13182,"beef, veal","Candidate Tryptophan-C14:4 (delta mass:202.132)"
132321,"cilantro, basil","""1-[(2S,3S)-3,4-Dihydro-3,5,7-trihydroxy-2H-1-benzopyran-2-yl]-8-[(2R,3S)-3,4-dihydro-3,5,7-trihydroxy-2H-1-benzopyran-2-yl]-3,4,6-trihydroxy-5H-benzocyclohepten-5-one"""
133256,"walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, legume, butter, Spenach, pig","MANNITOL - 30.0 eV"
136469,"pine nut, cardamom, bay leaf, poppy seed","NCGC00381248-01!4-oxododecanedioic acid"
137031,"onion, turmeric, bay leaf, spice, oregano, avocado, lavender, curry plant","Massbank:NA001159 Pterosin A|(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one"
137325,"borage leaf, lemon balm","Kaurane"
137809,"sage, strawberry, cardamom, oregano, guava","NCGC00380210-01_C18H30O8_Cyclopentaneacetic acid, 3-(hexopyranosyloxy)-2-[(2Z)-2-penten-1-yl]-"
140112,"beef, pepper, wheat","NCGC00385765-01![(2S,3R,4S,5R,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-dihydroxy-6-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-5-hydroxy-4-[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-3-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate"
142069,"pine nut, turmeric, grape_fermented, anise, olive, bay leaf, legume","NCGC00380119-01!3-(5,6-dihydroxyheptyl)-4-methyl-2H-furan-5-one"
142318,"walnut, turmeric, grape_fermented, lentil, anise, olive, cardamom, bay leaf, Tilapia, cocoa seed, oregano, cloves","NCGC00385243-01_C12H18O4_{(1R,2R)-2-[(2Z)-5-Hydroxy-2-penten-1-yl]-3-oxocyclopentyl}acetic acid"
